Graph,WindowsMD5,LinuxMD5
nmBoxPlot8.jpg,75f6dd2571d5e6f005b663e48bcfea6c,dc0361edfb20f2231b122d9be1b85646
nmBoxPlot9.jpg,d2ed7ed1e87b28598dffe3e601d559fd,2a4e42fb5c86b9a45e919979e6550f46
nmDotPlot1.jpg,301f787e9ed6585c72f8b21f0b69b4a9,a6186f19f826a7c784dc8e7c301a95cc
nmDotPlot10.jpg,6186fbab5931fcff8e031d30fcf7f1b0,625295e1ddf4bcdc105d667673fa2641
nmDotPlot11.jpg,1363e41ed87ee9313aade126751e1170,266a04acc8f101100d4fe9d19fcfbff7
nmDotPlot12.jpg,57bc0d74666d9a1887765919dc0ce3aa,02f0b74cd5608c9d6f4cf8cb2f699fd2
nmDotPlot13.jpg,7fc3b1f85a512c402403c73ca81499b6,b8615290be7043b5da80a8e0090e4728
nmDotPlot2.jpg,7bd26587f99ccf77c924bf6886608f30,0e3c70d4ee269801102e1e2855871eca
nmDotPlot3.jpg,5b28cd8c4ac2d4d5981dbf666ef3b2c4,b00efd433e18d46afa68ded0bacc5806
nmDotPlot4.jpg,b6ca9d1dfed2dd0242840e344dfb1b59,7604a00a001ffa7ea17b6a54ad6db847
nmDotPlot5.jpg,8396cb2df115ccb32170b1ad9dc64fa7,603aa885ddd9af24d8323c5ea12e27ec
nmDotPlot6.jpg,8396cb2df115ccb32170b1ad9dc64fa7,603aa885ddd9af24d8323c5ea12e27ec
nmDotPlot7.jpg,15b068f04e28f52943b412028e13ae49,07d2b74e6f8218379c3937eaa24183f6
nmDotPlot8.jpg,0ae0e9d850a6a0ede3c10b3af8a168dc,3737135c9638958ef1dfe11fd596fd53
nmDotPlot9.jpg,7953827ad130e8747d1c0f03b82a5361,d227872a3593270bc089029385cfdc8f
nmHistogram1.jpg,a69c748d16d584e735f8cf5f89579bbc,f8fa04f921bab7ff3c92b9d3722be2d1
nmHistogram10.jpg,8a1966435e36066fb92f5f6665a323c4,0b34c346404ba25269527688b2f07e2a
